Category,Accuracy,Precision,Recall,F1
principle_0,0.21739130434782608,1.0,0.049689440993788817,0.09467455621301774
principle_1,0.9710144927536232,0.0,0.0,0.0
principle_2,0.9386189258312021,0.0,0.0,0.0
principle_3,0.9368061485909479,0.16666666666666666,0.06896551724137931,0.0975609756097561
principle_4,0.9333917616126205,0.24242424242424243,0.13559322033898305,0.1739130434782609
principle_5,0.9931798806479113,0.5,0.25,0.3333333333333333
principle_6,0.9829497016197783,0.047619047619047616,1.0,0.0909090909090909
