Category,Accuracy,Precision,Recall,F1
topic_1,0.8115183246073299,1.0,0.02702702702702703,0.052631578947368425
topic_2,0.8743455497382199,0.7142857142857143,0.18518518518518517,0.2941176470588235
topic_3,0.8481675392670157,0.5238095238095238,0.36666666666666664,0.4313725490196078
topic_4,0.8848167539267016,0.46153846153846156,0.2857142857142857,0.35294117647058826
topic_5,0.9319371727748691,0.6521739130434783,0.75,0.6976744186046512
topic_6,0.9528795811518325,0.18181818181818182,1.0,0.3076923076923077
topic_7,0.9162303664921466,0.23529411764705882,0.5714285714285714,0.3333333333333333
topic_8,0.9424083769633508,0.4,0.2,0.26666666666666666
topic_9,0.6230366492146597,0.2535211267605634,0.4864864864864865,0.3333333333333333
