Category,Accuracy,Precision,Recall,F1
principle_0,0.21503496503496503,1.0,0.04772004241781548,0.09109311740890688
principle_1,0.9729020979020979,0.0,0.0,0.0
principle_2,0.9405594405594405,0.0,0.0,0.0
principle_3,0.9300699300699301,0.16666666666666666,0.10714285714285714,0.13043478260869565
principle_4,0.9263531499556344,0.20512820512820512,0.13333333333333333,0.1616161616161616
principle_5,0.9912587412587412,0.0,0.0,0.0
principle_6,0.9694055944055944,0.027777777777777776,1.0,0.05405405405405406
