Category,Accuracy,Precision,Recall,F1
topic_1,0.8054054054054054,0.0,0.0,0.0
topic_2,0.8648648648648649,0.75,0.1111111111111111,0.19354838709677416
topic_3,0.8594594594594595,0.55,0.39285714285714285,0.45833333333333337
topic_4,0.8972972972972973,0.5384615384615384,0.35,0.4242424242424242
topic_5,0.9243243243243243,0.6153846153846154,0.8,0.6956521739130435
topic_6,0.918918918918919,0.11764705882352941,1.0,0.21052631578947367
topic_7,0.9081081081081082,0.2222222222222222,0.5714285714285714,0.32
topic_8,0.9351351351351351,0.3333333333333333,0.2,0.25
topic_9,0.5945945945945946,0.20588235294117646,0.4,0.27184466019417475
